id,ingredientName,status,manufactureDate,expiryDate,contaminationDate,statusTimestamp,statusReason,isActive
BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,2025-10-05T09:00:00+05:30,,,,True
BATCH-CHICKEN-001,Chicken,GREEN,2025-09-09T04:00:00+05:30,2025-09-12T04:00:00+05:30,,,,False
BATCH-CHICKPEA-001,Chickpeas,GREEN,2025-08-22T10:00:00+05:30,2026-02-22T10:00:00+05:30,,,,True
BATCH-CREAM-001,Fresh Cream,YELLOW,2025-09-06T08:00:00+05:30,2025-09-13T08:00:00+05:30,2025-09-09T18:00:00+05:30,2025-09-09T20:00:00+05:30,Cold-chain temperature excursion reported during transit,True
BATCH-PANEER-001,Paneer,RED,2025-09-08T06:00:00+05:30,2025-09-12T06:00:00+05:30,2025-09-10T14:00:00+05:30,2026-09-19T10:25:41.237000+00:00,Confirmed microbial contamination via laboratory test,False
BATCH-PANEER-002,Paneer,GREEN,2025-09-11T06:00:00+05:30,2025-09-15T06:00:00+05:30,,,,True
BATCH-RICE-001,Basmati Rice,GREEN,2025-08-20T10:00:00+05:30,2026-08-20T10:00:00+05:30,,,,True
BATCH-SPICE-001,Garam Masala,GREEN,2025-08-25T11:00:00+05:30,2026-02-25T11:00:00+05:30,,,,True
BATCH-SPINACH-001,Spinach,GREEN,2025-09-08T05:00:00+05:30,2025-09-11T05:00:00+05:30,,,,False
BATCH-TOMATO-001,Tomato,GREEN,2025-09-09T07:00:00+05:30,2025-09-14T07:00:00+05:30,,,,True
